filename,istrue,trust,x1,y1,x2,y2,category
w20190719093725711_509_epoch0_aug0x1,1,0.9707053,1011,815,1095,907,bird
w20190719093725711_509_epoch0_aug0x1,1,0.864075,1661,108,1761,208,bird
w20190719093725711_509_epoch0_aug0x1,1,0.8154295,357,522,481,612,bird
w20190719093725711_509_epoch0_aug0x1,1,0.6259276999999999,143,527,277,615,bird
w20190719093725711_509_epoch0_aug0x1,1,0.5920734999999999,1099,528,1195,614,bird
w20190829173008684_311,1,0.9433805000000001,818,444,912,501,bird
w20190719093725711_367_epoch0_aug0x0,1,0.95245504,562,482,745,661,bird
w20190805084107410_64_epoch0_aug0x2,1,0.99928325,303,549,322,568,bird
w20190805084107410_64_epoch0_aug0x2,1,0.99926704,359,551,375,565,bird
w20190805084107410_64_epoch0_aug0x2,1,0.9875072,228,587,246,601,bird
w20190805084107410_64_epoch0_aug0x2,1,0.96039414,423,545,439,559,bird
w20190805084107410_64_epoch0_aug0x2,1,0.61622155,213,584,234,599,bird
w20190618063144857_397_epoch0_aug0x1,1,0.9999664,190,67,366,333,bird
w20190829173008684_293,1,0.7645562,989,428,1203,576,bird
w20190705043739842_217_epoch0_aug0x0,1,0.98292315,1532,174,1768,388,bird
w20190618063144857_299_epoch0_aug0x0,1,0.99979,236,133,404,271,bird
w20190805084107410_58_epoch0_aug2x2,1,0.9967290000000001,200,37,223,56,bird
w20190805084107410_58_epoch0_aug2x2,1,0.95506954,40,12,61,24,bird
w20190805084107410_58_epoch0_aug2x2,1,0.8695437,160,42,176,59,bird
w20190805084107410_58_epoch0_aug2x2,0,0.82879615,81,33,103,46,bird
w20190805084107410_58_epoch0_aug2x2,1,0.7388363,75,5,100,18,bird
w20190719093725711_439_epoch0_aug1x0,1,0.92964673,551,651,929,1064,bird
w20190719093725711_439_epoch0_aug1x0,1,0.9025822,1177,502,1566,920,bird
w20190805084107410_40_epoch0_trim1x2,1,0.9999075999999999,723,271,746,287,bird
w20190805084107410_40_epoch0_trim1x2,1,0.99807274,824,266,836,278,bird
w20190805084107410_40_epoch0_trim1x2,1,0.9961591999999999,754,344,768,361,bird
w20190805084107410_40_epoch0_trim1x2,1,0.9959777,835,331,855,350,bird
w20190805084107410_40_epoch0_trim1x2,1,0.9789614999999999,806,270,819,284,bird
w20190805084107410_40_epoch0_trim1x2,1,0.9706364,673,279,689,294,bird
w20190805084107410_40_epoch0_trim1x2,0,0.95815516,689,324,705,335,bird
w20190805084107410_40_epoch0_trim1x2,0,0.725197,728,334,744,348,bird
w20190805084107410_40_epoch0_trim1x2,1,0.6566145999999999,773,337,785,355,bird
w20190719093725711_72_epoch0_aug1x0,1,0.9966833,1581,527,1674,624,bird
w20190719093725711_72_epoch0_aug1x0,1,0.9921449000000001,1372,889,1479,989,bird
w20190719093725711_72_epoch0_aug1x0,1,0.9686507,1090,909,1246,1008,bird
w20190719093725711_72_epoch0_aug1x0,1,0.9677023000000001,262,814,497,1001,bird
w20190719093725711_72_epoch0_aug1x0,1,0.9263399999999999,671,783,800,937,bird
w20190719093725711_72_epoch0_aug1x0,1,0.8695924999999999,430,1196,533,1276,bird
w20190719093725711_72_epoch0_aug1x0,1,0.7431456999999999,709,527,844,667,bird
w20190719093725711_72_epoch0_aug1x0,1,0.7175339,1261,1155,1338,1227,bird
w20190719093725711_72_epoch0_aug1x0,1,0.68428206,6,936,112,1063,bird
w20190719093725711_72_epoch0_aug1x0,1,0.51882386,665,727,814,864,bird
w20190719093725711_31_epoch0_aug0x1,1,0.99816567,1011,644,1161,751,bird
w20190719093725711_31_epoch0_aug0x1,1,0.98429525,1658,632,1838,737,bird
w20190719093725711_31_epoch0_aug0x1,1,0.9528455,841,584,984,742,bird
w20190719093725711_31_epoch0_aug0x1,1,0.9226549000000001,347,530,426,652,bird
